event_id,사건명,사건유형,시기,시기근거,관련조직,상위사건,근거절,보조출전,근거수준,비고,참여자메모,지역구분,시기구분,관련조직_미매핑
E009,전환국 설치와 신화폐 주조,설립,1904~1905,본문서술,,,32-1,,회고록단독,"본문 ""1904 5년""의 사정으로 서술·용산 소재 국가사업(대구 측 집합행동 없음)·화폐 통일 성공 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",메가타 다네타로;마스다 노부유키;하야시 곤스케,전국배경,시기내,전환국;탁지부
E011,히다카 출장원 피살,재난·사고,1904~1905,추정,O112,E010,32-3,,회고록단독,"전남에서 대금 강제징수 중 피살·국제문제화 직전·강제징수 보류와 사변사 제도 도입의 계기(집합적 대응 서술)·시기는 탈곡기 대금 징수기 추정 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",히다카,전국배경,시기내,
E028,이토 위문대사 방한과 한러국교 단절 선언,중재·교섭,1905-05,본문서술,,,34-1,,회고록단독,"본문 표기 1905년 5월·다만 한일의정서(1904.2) 직후 방한 서술이므로 실제 1904년 사건의 오기 가능성 있음(후속 판정 요)·대신들 연쇄 자살·배일 열기는 1905년 말 정황과 혼재 서술 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",이토 히로부미,전국배경,시기내,
E031,경부선 개통식,의례,1905-05-25,본문서술,O111,,11-4,,회고록단독,"경성 남대문 정차장·귀빈 천여 명; 대구 측 집합 행동은 별건(후시미노미야 봉송)으로 분리 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",오우라 체신대신; 하세가와 육군대장; 하야시 주한공사; 후시미노미야 히로야스,전국배경,시기내,
E042,민영환 등 연쇄 자살,재난·사고,1905,본문서술,,,37-1,,회고록단독,"11월 30일 이토 출국 직후부터 거물 연쇄 자살·한성 긴장·원유형 집단적 순국·지방 의사 출현은 일반 서술 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",민영환;조병세;홍만식;이한응;이상철;김봉학,전국배경,시기내,
E053,이토 전권대사 방한과 통감부 설치 공포,중재·교섭,1905-11~1905-12,본문서술,O072,,37-1;38-2,,회고록단독,"37-1 서두 ""1906년 11월""은 1905년 11월의 오기로 판정(같은 절의 메이지38년(1905).11 각석·1905.12.20 칙령·44-1 ""전년 11월"" 서술로 확인)·한일협약 제의·외교권 양도·통감부 설치를 협의 결정·12.20 칙령 공포 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",이토 히로부미;하세가와 요시미치;하야시 곤스케,전국배경,시기내,
E054,안양역 열차 투석 사건,재난·사고,1905-11,추정,,E053,37-1;44-1,,회고록단독,"이토 경성 체류 중 사냥 귀로 경부선 안양역 부근 투석·유리 파편으로 미간 부상·체류기(1905.11)로 추정 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",이토 히로부미,전국배경,시기내,
E060,이토 통감 부임,선거·임명,1906-02,본문서술,O072,,44-1,,회고록단독,"초대 통감 부임과 통감부 총장·고문진 인선·2.20 신바시 출발·3.2 경성 도착·3.9 황제 알현·일본공사관은 1.31부 폐쇄 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",이토 히로부미;쓰루하라 사다키치;기우치 주시로;오카 기시치로;나베시마 게이지로;메가타 다네타로,전국배경,시기내,
E061,한국기업공채 발행,중재·교섭,1906-03,본문서술,,,52-2,,회고록단독,"이토 종용의 행정개혁 재원으로 일본흥업은행이 한국기업공채 500만원 발행 인수·경찰·위생·교통·교육 4개 사업 개선 착수(원유형 재정 조치·대구 측 집합행동 없음) | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",이토 히로부미,전국배경,시기내,일본흥업은행
E062,통감부 개청식,의례,1906-03-28,본문서술,O072,,44-1,,회고록단독,"호도원에서 한일 문무관·외국 영사 등 천여 명 초대 개청식·이토 인사와 박제순 답사·양국 황제 만세 삼창 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",이토 히로부미;박제순,전국배경,시기내,
E134,박제순 내각 총사퇴·이완용 내각 성립,선거·임명,1907-05,본문서술,O072,,74-1,,회고록단독,"5.20 사임 승인 통지·5.21 총사직·5.22 이완용내각 성립·5.25 일부 경질(사실상 이-송 연립내각) | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",박제순;이토 히로부미;고쿠부 비서관;이완용;임선준;이병무;이재곤;송병준;조중응;고영희,전국배경,시기내,일진회
E157,헤이그 밀사 파견과 실패,청원,1907-06,본문서술,,,74-2~74-3,,회고록단독,"4.20 경성 출발·6월 말 헤이그 등장·1905년 협약 무효 진정 시도 실패·이준 병사 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",이상설;이준;이위종,전국배경,시기내,
E164,차관정치 전환·통감부 개편,조직개편,1907,본문서술,O072,E173,83-2,,회고록단독,"고문제 폐지·일본인 차관 임용·12월 각부 관제 개정·본문 '오카키 시치로'는 오카 기시치로(岡喜七郎)의 오분절 표기 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",이토 히로부미;소네 아라스케;쓰루하라 사다키치;기우치 주시로;오카 기시치로;다와라 마고이치;아라이 겐타로;고미야 미호마쓰;구라토미 유자부로;마쓰이 시게루;마루야마 시게토시;나가하마 모리조,전국배경,시기내,
E168,이토 통감의 궁중 압박,중재·교섭,1907-07-03,본문서술,O072,E157,75-1,,회고록단독,"헤이그발 전보 사본 봉정과 '선전포고' 발언으로 궁중 압박 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",이토 히로부미;도미오카 중장;고의경,전국배경,시기내,
E169,어전회의와 송병준 직간,중재·교섭,1907-07-06,본문서술,,E157,75-2~75-3,,회고록단독,"송병준이 도쿄 사죄 또는 항복의 양자택일 직간·황제 격노·이후 연일 대책 회의(75-3) | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",이완용;임선준;송병준;조중응;이재곤;고영희;이병무;한국 황제(고종),전국배경,시기내,
E170,종로 폭동,집단운동·대회,1907-07,본문서술,,E172,76-2,,회고록단독,"대한문 앞 시위가 폭동화·일본 경찰관 다수 사상·칙령으로 일본군이 경성 경계 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",민중 2천여 명;한국 병사;이토 히로부미;하세가와 대장,전국배경,시기내,한국주차군
E171,황성신문 '시일야방성대곡' 게재,집단운동·대회,1905-11,보조사료,,,76-3,,회고록단독,"[J-14d 판정 2026-07-23 ①통설 채택] 통설 1905-11(을사조약 직후) 게재로 판정. 본문은 1907 황제 양위 다음날 게재로 서술 — 전국 단위 사건에 대한 가와이 아사오 서술의 착오(사용자 판정에 따라 비고 표기). 서술 위치에 따른 종전 상위사건(E172 황제 양위) 연결은 연대 불일치로 해제·언론 사건 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",장지연,전국배경,시기내,황성신문
E172,황제 양위,의례,1907-07-16~1907-07-20,본문서술,,E157,76-1~76-3,,회고록단독,"7.16 내각회의 양위 결정(고영희 반대)·7.18 황제대리 조칙·7.20 양위 식전(정변적 성격 포함) | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",한국 황제(고종);황태자(순종);이완용 내각;고영희;박영효,전국배경,시기내,
E173,한일신협약 체결,중재·교섭,1907-07-24,본문서술,O072,E172,76-4,,회고록단독,"7개조 약정으로 통감의 내정 지휘권 확립·하야시 외상은 교섭 국면에 서지 못함 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",이토 히로부미;이완용;하야시 다다스,전국배경,시기내,
E174,한국 군대 해산(경성),조직개편,1907-07-31~1907-08-01,본문서술,,E173,76-4;77-1,,회고록단독,"7.31 해산 조칙·8.1 훈련원 해산식·일부 부대 소요·남대문 안에서 수비대와 충돌 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",이병무;해산 병사들,전국배경,시기내,
E177,융희 개원·순종 즉위식,의례,1907-08,본문서술,,E172,80-1,,회고록단독,"8.3 개원·황태자비 윤씨 황후 책봉·영친왕 황태자 책봉·8.27 경운궁 돈덕전 즉위식 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",신황제 이척(순종);황후 윤씨;영친왕 이은,전국배경,시기내,
E182,일본 황태자 한국 방문,의례,1907-10,본문서술,O072,,80-2~81-3,,회고록단독,"10.10 도쿄 출발·10.13 구레 출항·10.16 인천 상륙·10.16~20 체류 후 귀환·양 황실 최초 친교(81장은 오사카마이니치신문 인용) | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",요시히토 친왕;아리스가와노미야 다케히토;가쓰라 육군대장;도고 해군대장;이토 히로부미;하세가와 대장;한국 황제(순종);한국 황태자(영친왕);태황제,전국배경,시기내,한국주차군
E188,영친왕 일본 유학,의례,1907-11~1907-12,본문서술,,E182,82-1,,회고록단독,"이토 태자태부 임명·11.19 유학 조칙·12.5 경성 출발·아자부 도리이자카 별장 체재(81-3에도 관련 언급) | [J-16 연동] 근거절 재부여(82-2→82-1) | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",영친왕 이은;이토 히로부미;이와쿠라 도모사다;스에마쓰 겐초,전국배경,시기내,
E189,창덕궁 천어·국시6개조 서고,의례,1907-11,본문서술,,,83-1,,회고록단독,"11.13 창덕궁 천어·11.18 종묘사직 서고·11.19 국시6개조 조칙 공포 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",한국 황제(순종),전국배경,시기내,
E211,각도 서기관·관찰사 회의와 지방관 경질,조직개편,1908-04~1908-06,본문서술,,,92-4,,회고록단독,"경성 개최 회의 후 6월 관찰사·군수 대거 경질; 대구 측 집합 행동 서술 없음(박중양 전출은 별도 행) | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",한국 정부 내부;각도 서기관·관찰사,전국배경,시기내,한국 정부 내부
E245,황제 남한순행 조칙 반포,의례,1909-01-04,본문서술,O072,E249,101-1,,회고록단독,"남한순행 조칙 반포, 이토 통감 배종 명시. 유형 원후보 '조칙·포고'를 의례로 분류 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",순종 황제;이토 히로부미,전국배경,시기내,
E256,서북한 순행,의례,1909-01-27~1909-02-03,본문서술,O072,,105-3,,회고록단독,"평양·신의주·의주·정주·황주·개성 경유 2.3 경성 환행. 남순행에 이은 별개 순행으로 대구 측 집합 행동 서술 없음 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",순종 황제;이토 히로부미,전국배경,시기내,
E278,부산상업회의소 임원 호선,선거·임명,1909,추정,,,110-1,,회고록단독,"시기 '당시'(대구 회의소 선거기 문맥, 1909 추정). 부산(역외) 사건으로 대구 측 행동 없음 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",노구치 히로키;고토 진키치;사카타 분키치;오이케 주스케;야마모토 준이치;아다치 다키지로;하자마 후사타로;하세가와 가메타로,전국배경,시기내,부산일본인상업회의소
E285,통감 경질(이토 사임·소네 승임),선거·임명,1909-06-15,본문서술,O072,,112-1,,회고록단독,"이토 추밀원 의장 전임, 부통감 소네 통감 승임 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",이토 히로부미;소네 아라스케,전국배경,시기내,
E286,소네 신임 통감 부임(대구 통과),선거·임명,1909-06-22,본문서술,O072,E285,112-3,,회고록단독,"부산 상륙 후 당일 대구 통과·경성행. 대구 측 행사 서술 없음 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",소네 아라스케,전국배경,시기내,
E287,이토 공 한국정부 하직과 송별회,의례,1909-07,본문서술,O072,E285,112-3,,회고록단독,"7.5 경성 도착, 7.6 황제 배알 하직, 7.8 관민 수백 명 초대 송별회, 7.14 경성 출발 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",이토 히로부미;순종 황제;경성·지방 관민 수백 명,전국배경,시기내,
E291,이토 히로부미 피격 사망,재난·사고,1909-10-26,본문서술,O072,,104-1;112-1,,회고록단독,"하얼빈(국외)에서 흉탄 피격 사망. 대구 측 집합 행동 서술 없음 | [J-12 판정 2026-07-23 ②] 대구·경북 밖 발생·대구 측 행동 없음 — 부록 배경연표로 분리, 5장 집계 제외(event_id 유지·상호참조 보존)",이토 히로부미;안중근(본문 '한 한국인'),전국배경,시기내,
