event_id,사건명,사건유형,시기,시기근거,관련조직,상위사건,근거절,보조출전,근거수준,비고,참여자메모,지역구분,시기구분,관련조직_미매핑,시기구획
E001,달성학교 설립,설립,1899-07,본문서술,O036,,29-2,『대구민단사』 pp.106~107,교차확인,"분석시기(1903~1910) 이전 사건(R-07 준용); 한국인 자제 일본어 교육 목적; 관찰사 100원·부지 700여 평 기부, 유지 기부 700원",히자쓰키 마스키치(설립자); 니타니 마쓰스케(경영 협력); 윤필오(경영·협력); 김직현(관찰사·기부),대구,시기외,,시기외
E002,달성학교 보조금 확보,중재·교섭,1900~1901,본문서술,O036;O071;O111,,29-2,,회고록단독,분석시기 이전; 학부 1900년부터 연 120원·동아동문회 1901년부터 연 420원·경부철도 1901-09부터·부산 5개 사원 매달 15원(1901-04 중지)·목포 유지 기부 등,히자쓰키 마스키치(수혜 주체),대구,시기외,한국 학부;동아동문회;한남교육장려회,시기외
E003,달성학교 확장 계획과 중지,조직개편,1902~1903,본문서술,O036,,29-3,,회고록단독,방침 수립 1902-05(분석시기 외)·배일 정세로 1903-04 중지; 종결 국면(1903) 기준으로 시기내 처리,히자쓰키 마스키치; 샤쿠오 슌조,대구,시기내,,시기외
E004,일본어속성야학교 설립,설립,1903,본문서술,O039;O043,,29-4,,회고록단독,본문 '1903년 말'; 서문 내 포교소 안 설립·한국인 교육,스토 시즈야(설립·주임),대구,시기내,,민회기(1903~05)
E005,부산우편국 대구우편소 설치,설립,1903-11-01,본문서술,O080,,48-1,,회고록단독,"후보 ""대구 우편기관 설치·승격·이전"" 1건을 국면별 5건으로 분리(지침 3)·서상면에 설치·소장 오쿠보·초기 무집배(1904.8부터 매일 집배) | 상위사건 후보(미확정): 대구 우편기관 정비 연쇄",오쿠보 하지메,대구,시기내,,민회기(1903~05)
E006,수비대·진위대 충돌 위기 시 결집 준비,집단운동·대회,1904-04,본문서술,O091;O093,,13-2,,회고록단독,수비대장 명령 시 달성산 집결·생사 결정 준비; 충돌 회피로 실행되지 않음; 개인 참여자 식별 불가,(개인 미상; 대구 거주 일본인 일반·수비대장),대구,시기내,,민회기(1903~05)
E007,일본인회→거류민회 개칭 및 회장 교체,조직개편,1904~1905,추정,O002,,5-1,,회고록단독,본문 '기록이 없어 날짜는 정확히 알 수 없다'; 설립(1904-08) 이후~다도코로 당선(1905-05) 이전 구간 추정,도쿠히사 요네조(사임); 도쿠라 소로쿠(회장대리 추대),대구,시기내,,민회기(1903~05)
E008,달성학교 일본 아동 2부제 무상교육,조직개편,1904~1905,본문서술,O036,,29-3,,회고록단독,1904-02 이후 교실 증축·2부제 무상 교육를 1905-10까지 지속; 일본인 취학아동 한때 70여 명; 학교 운영 개편으로 등재(개인 선행 성격 병존),히자쓰키 마스키치(운영),대구,시기내,,민회기(1903~05)
E010,탈곡기배포사무국 설치와 배포사업 실패,집단운동·대회,1904,본문서술,O112,,32-2~32-3;33-1,,회고록단독,원유형 정책사업·집단저항·1904년 경성 사무국 설치와 전국 30만 대 강제 배포·국새 훈령 강제징수에 농민 저항(마을 입구 탈곡기 야적·관민 대치)으로 실패·경북 국면(사변사 쓰지) 서술 있음·실패 확정은 이듬해까지 이어진 것으로 추정,하라다 리베;쓰지 소노지로,전국-대구반응,시기내,농상공부,민회기(1903~05)
E012,하라타 대구지점 개업 피로연,의례,1904,추정,,,33-1,,회고록단독,서문시장 신축 점포 개업식·관찰사(관기 20명 대동)와 한일 관민 다수 초청 입식 연회·쓰지의 1904년 봄 파견 직후로 추정,쓰지 소노지로,대구,시기내,하라타 대구지점,민회기(1903~05)
