record_id,인물,event_id,역할,원표기,근거절,보조출전,근거수준,비고
EP0001,김직현,E001,당사자·대상,관찰사,29-2,,회고록단독,설득 받아 설립비 100원·부지 700여 평 기부(조선인 관리)
EP0002,니타니 마쓰스케,E001,주도자,경영 조력,29-2,,회고록단독,히자쓰키를 도와 학교 경영에 애쓴 사람 서술
EP0003,윤필오,E001,주도자,경영,29-2,,회고록단독,설립계획 찬성·앞장서 협력·경영 담당 서술
EP0004,히자쓰키 마스키치,E001,주도자,설립자,29-2,,회고록단독,설립자 명시 서술
EP0005,히자쓰키 마스키치,E002,당사자·대상,,29-2,,회고록단독,사재 교비 제공·학부가 미담 듣고 보조금 교부한 수혜 당사자 서술
EP0006,샤쿠오 슌조,E003,주도자,주간 겸 교두,29-3,,회고록단독,확장 방침 상의 상대 명시
EP0007,히자쓰키 마스키치,E003,주도자,감독 겸 교사,29-3,,회고록단독,샤쿠오와 상의해 확장 방침 수립 서술
EP0008,스토 시즈야,E004,주도자,포교소 주임 법사,29-4,,회고록단독,포교소 안 야학교 지어 한국인 교육 종사 서술
EP0009,오쿠보 하지메,E005,당사자·대상,우편소장,48-1,,회고록단독,우편소장 임명·사무 개시 서술(임명 당사자)
EP0010,도쿠히사 요네조,E007,당사자·대상,대일본인거류민회장,5-1,,회고록단독,이보다 앞서 물러남(사퇴 당사자) 서술
EP0011,도쿠라 소로쿠,E007,대표·위원,회장대리,5-1,,회고록단독,추대되어 회장대리 서술
EP0012,히자쓰키 마스키치,E008,주도자,,29-3,,회고록단독,교실 증축·2부제 무보수 교육 담당 서술
EP0013,히다카(출장원),E010,당사자·대상,출장원,32-3,,회고록단독,전남에서 살해된 피해자 서술
EP0014,쓰지 소노지로,E010,대표·위원,경상북도 사변사,33-1,,회고록단독,탈곡기 배포 특종임무로 대구 파견 서술
EP0015,쓰지 소노지로,E012,주도자,하라타 대구지점 주임,33-1,,회고록단독,개업식 준비·입식 연회 주최 회고 서술
EP0016,쓰지 소노지로,E013,주도자,사변사,33-1,,회고록단독,국새 훈령 제시 등청·연회 주빈 서술
EP0017,히메노 다로지,E013,참석자,수행원,33-1,,회고록단독,수행원 인솔 명시
EP0018,나카무라 헤이시로,E014,주도자,,37-2,,회고록단독,상호 유래 3인·연맹 합자 조직 명시
EP0019,나카에 고로헤이,E014,주도자,,37-2,,회고록단독,상호 유래 3인·연맹 합자 조직 명시(나카에 고로헤 병합)
EP0020,나카에 도미주로,E014,주도자,,37-2,,회고록단독,상호 유래 3인·연맹 합자 조직 명시
EP0021,오쿠이 와헤이,E014,주도자,,37-2,,회고록단독,성씨 '이(井)'자 유래·연맹 합자 조직 명시
EP0022,가미모리 겐자부로,E015,주도자,합자조직,43-2,,회고록단독,3명이 삼맹상회 합자 개점 명시
EP0023,나카이데 세이타로,E015,주도자,합자조직,43-2,,회고록단독,3명이 삼맹상회 합자 개점 명시
EP0024,스즈키 젠시치,E015,주도자,합자조직,43-2,,회고록단독,3명이 삼맹상회 합자 개점 명시
EP0025,니시모토 온키치,E016,발기인,발기인,43-3,,회고록단독,발기인 명단 열거
EP0026,도쿠히사 요네조,E016,발기인,발기인,43-3,,회고록단독,발기인 명단 열거
EP0027,마유미 다다시,E016,발기인,발기인,43-3,,회고록단독,발기인 명단 열거
EP0028,미와 조테쓰,E016,발기인,발기인,43-3,,회고록단독,발기인 명단 열거
EP0029,센가 다마키,E016,발기인,발기인,43-3,,회고록단독,발기인 명단 열거
EP0030,스다 산페이,E016,발기인,발기인,43-3,,회고록단독,발기인 명단 열거
EP0031,시모다 고키치,E016,발기인,발기인,43-3,,회고록단독,발기인 명단 열거
EP0032,쓰지 소노지로,E016,발기인,발기인,43-3,,회고록단독,발기인 명단 열거
EP0033,아오시마 구메조,E016,발기인,발기인,43-3,,회고록단독,발기인 명단 열거
EP0034,아키야마 시카렌,E016,발기인,발기인,43-3,,회고록단독,발기인 명단 열거
EP0035,야마와키 쇼사쿠,E016,발기인,발기인,43-3,,회고록단독,발기인 명단 열거
EP0036,오다 리사쿠,E016,발기인,발기인,43-3,,회고록단독,발기인 명단 열거
EP0037,오쿠보 하지메,E016,발기인,발기인,43-3,,회고록단독,발기인 명단 열거
EP0038,이노 히데스케,E016,발기인,발기인,43-3,,회고록단독,발기인 명단 열거
EP0039,이노우에 쓰네나오,E016,발기인,발기인,43-3,,회고록단독,발기인 명단 열거
EP0040,히라사와 이와타로,E016,발기인,발기인,43-3,,회고록단독,발기인 명단 열거
EP0041,히자쓰키 마스키치,E016,발기인,발기인,43-3,,회고록단독,발기인 명단 열거
EP0042,마쓰무라,E016,주도자,영사관 서기,43-3,,회고록단독,취지 발표 종용 서술·신규인물후보(성만 표기·마쓰무라 다이스케 동일인 미확인)
EP0043,신태휴,E017,주도자,관찰사,50-1,,회고록단독,도내 각지 초등학교 설립 명시
EP0044,아리요시 아키라,E018,당사자·대상,부산영사,3-2,,회고록단독,설립 인가 주체(본문 성+직함 표기·참조 확인)
EP0045,아리타 오토마쓰,E018,당사자·대상,부과4등,43-1,,회고록단독,공비예산 영업자등급할 부과 사례 당사자(월 1원)
EP0046,가미야 도요나리,E018,대표·위원,평의원,3-2,,회고록단독,평의원 명단 열거
EP0047,가와시마 규에몬,E018,대표·위원,평의원,3-2,,회고록단독,평의원 명단 열거
EP0048,도쿠라 소로쿠,E018,대표·위원,평의원,3-2,,회고록단독,평의원 명단 열거
EP0049,도쿠히사 요네조,E018,대표·위원,민회장,3-2,,회고록단독,간부 명단 열거
EP0050,마스다 도라타,E018,대표·위원,평의원,3-2,,회고록단독,평의원 명단 열거
EP0051,마유미 다다시,E018,대표·위원,평의원,3-2,,회고록단독,평의원 명단 열거
EP0052,모리나가 소이치,E018,대표·위원,평의원,3-2,,회고록단독,평의원 명단 열거
EP0053,미와 조테쓰,E018,대표·위원,평의원,3-2,,회고록단독,평의원 명단 열거
EP0054,스다 산페이,E018,대표·위원,평의원,3-2,,회고록단독,평의원 명단 열거
EP0055,스즈키 히사지로,E018,대표·위원,평의원,3-2,,회고록단독,평의원 명단 열거
EP0056,시라타 신스케,E018,대표·위원,평의원,3-2,,회고록단독,평의원 명단 열거
EP0057,시모다 고키치,E018,대표·위원,평의원,3-2,,회고록단독,평의원 명단 열거
EP0058,쓰지 소노지로,E018,대표·위원,평의원,3-2,,회고록단독,평의원 명단 열거
EP0059,오카다 기하치,E018,대표·위원,평의원,3-2,,회고록단독,평의원 명단 열거(본문 오카다 지로 병합맵 적용)
EP0060,오쿠보 하지메,E018,대표·위원,평의원,3-2,,회고록단독,평의원 명단 열거
EP0061,요시키 도시조,E018,대표·위원,평의원,3-2,,회고록단독,평의원 명단 열거
