record_id,인물,org_id,구분,직위,원표기,시간구간,근거절,보조출전,근거수준,보조사료대조,교차확인비고,비고,시기구획,직무분류,기관계열
OH0001,니시모토 온키치,O001,직위,발기인,발기인,1904,43-3,,대구물어 단독 전거,미확인,페이지까지 필요없고 출전만 사용. '동포회'는 다른 문헌에 명단이 언급 안됨,1904-06 설립 취지서 발기인 명단,민회기(1903~05),10 발기인,행정·자치
OH0002,도쿠히사 요네조,O001,직위,발기인,발기인,1904,43-3,,대구물어 단독 전거,미확인,,1904-06 설립 취지서 발기인 명단,민회기(1903~05),10 발기인,행정·자치
OH0003,마유미 다다시,O001,직위,발기인,발기인,1904,43-3,,대구물어 단독 전거,미확인,,1904-06 설립 취지서 발기인 명단,민회기(1903~05),10 발기인,행정·자치
OH0004,미와 조테쓰,O001,직위,발기인,발기인,1904,43-3,,대구물어 단독 전거,미확인,,1904-06 설립 취지서 발기인 명단,민회기(1903~05),10 발기인,행정·자치
OH0005,센가 다마키,O001,직위,발기인,발기인,1904,43-3,,대구물어 단독 전거,미확인,,1904-06 설립 취지서 발기인 명단,민회기(1903~05),10 발기인,행정·자치
OH0006,스다 산페이,O001,직위,발기인,발기인,1904,43-3,,대구물어 단독 전거,미확인,,1904-06 설립 취지서 발기인 명단,민회기(1903~05),10 발기인,행정·자치
OH0007,시모다 고키치,O001,직위,발기인,발기인,1904,43-3,,대구물어 단독 전거,미확인,,1904-06 설립 취지서 발기인 명단,민회기(1903~05),10 발기인,행정·자치
OH0008,쓰지 소노지로,O001,직위,발기인,발기인,1904,43-3,,대구물어 단독 전거,미확인,,1904-06 설립 취지서 발기인 명단,민회기(1903~05),10 발기인,행정·자치
OH0009,아오시마 구메조,O001,직위,발기인,발기인,1904,43-3,,대구물어 단독 전거,미확인,,1904-06 설립 취지서 발기인 명단,민회기(1903~05),10 발기인,행정·자치
OH0010,아키야마 시카렌,O001,직위,발기인,발기인,1904,43-3,,대구물어 단독 전거,미확인,,1904-06 설립 취지서 발기인 명단,민회기(1903~05),10 발기인,행정·자치
OH0011,야마와키 쇼사쿠,O001,직위,발기인,발기인,1904,43-3,,대구물어 단독 전거,미확인,,1904-06 설립 취지서 발기인 명단,민회기(1903~05),10 발기인,행정·자치
OH0012,오다 리사쿠,O001,직위,발기인,발기인,1904,43-3,,대구물어 단독 전거,미확인,,1904-06 설립 취지서 발기인 명단,민회기(1903~05),10 발기인,행정·자치
OH0013,오쿠보 하지메,O001,직위,발기인,발기인,1904,43-3,,대구물어 단독 전거,미확인,,1904-06 설립 취지서 발기인 명단,민회기(1903~05),10 발기인,행정·자치
OH0014,이노 히데스케,O001,직위,발기인,발기인,1904,43-3,,대구물어 단독 전거,미확인,,1904-06 설립 취지서 발기인 명단,민회기(1903~05),10 발기인,행정·자치
OH0015,이노우에 쓰네나오,O001,직위,발기인,발기인,1904,43-3,,대구물어 단독 전거,미확인,,1904-06 설립 취지서 발기인 명단,민회기(1903~05),10 발기인,행정·자치
OH0016,히라사와 이와타로,O001,직위,발기인,발기인,1904,43-3,,대구물어 단독 전거,미확인,,1904-06 설립 취지서 발기인 명단,민회기(1903~05),10 발기인,행정·자치
