표기,출처
가와우치,소속직위표
가토,소속직위표
고라 도노마루,사건참여표
고미야,사건참여표
고의경,소속직위표
곤지,소속직위표·사건참여표
기쿠치,소속직위표
긴토키,사건참여표
김승문,소속직위표
나적,소속직위표
나카네,소속직위표
나카네(中根),소속직위표
나카무라 헤이시로 부인,소속직위표·사건참여표
노무라,소속직위표
노무라(참모장),사건참여표
노즈,소속직위표
다케 아무개,사건참여표
다하타,소속직위표
도미오카,소속직위표
도쿠라,소속직위표
마쓰무라,소속직위표·사건참여표
마이덴 오,사건참여표
민 궁내부대신,사건참여표
사이토,사건참여표
시데하라,소속직위표
시바타,소속직위표·사건참여표
아다치(중좌),사건참여표
아키라,소속직위표
아키라(秋良),소속직위표
야마다(부관),사건참여표
양 모,사건참여표
오치 지에,사건참여표
와타나베(渡邊),소속직위표
의양군,사건참여표
의친왕,사건참여표
이치하라,소속직위표·사건참여표
하타,소속직위표
한국 황제,사건참여표
헤라이,소속직위표
후지노,소속직위표
후지모토,소속직위표
