한글표기,한자표기,대구물어_빈도,재집계_언급수,등장단락수,민단사매칭,안내매칭,요람매칭,조선대구일반매칭,병합된_이표기
이와세 시즈카,岩瀬静,36,164,81,1,1,1,1,이와세 시즈카(岩瀬靜)
오구라 다케노스케,小倉武之助,36,111,44,1,1,1,1,오구라 다케노스케(小倉竹之助); 구표기: 오구라 타케노스케
마스다 도라타,增田虎太,31,100,48,1,1,1,0,마스다 도라타(增田虎田); 마스다(增田) 단독 언급 병합(문맥: 거류민회 평의원 등 도라타 지칭 확인)
박중양,朴重陽,0,98,47,0,0,0,1,출처: 대구물어단체와인물.docx(대구구락부)·조선대구일반 p.288 — 조선인 관리
이토 히로부미,伊藤博文,2,81,46,1,0,0,0,
오키타 스테지로,沖田棄次郎,14,68,29,1,1,0,1,
사카이 만지로,堺萬次郎,15,64,27,1,1,1,1,사카이 만지로(境萬次郎) | 병합: 후지이 만지로(藤井萬次郎)
가와이 아사오,河井朝雄,23,60,35,1,1,1,1,
나카에 고로헤이,中江五郎平,25,60,33,1,1,1,1,나카에 고로헤(中江五郞平); 나카에 고로헤(江五郎平); 나카에 고로헤(中江語郎平)
가게야마 히데키,影山秀樹,8,58,32,1,0,0,1,구표기: 가게마야 히데키
가토 이치로,加藤一郎,16,55,23,1,1,1,1,
도쿠라 소로쿠,戸倉十六,18,53,24,1,0,0,1,
와타나베 히스루,渡邊比,18,47,25,1,1,0,0,와타나베 히스루(渡辺比); 와타나베 히스루(渡邉比)
미와 조테쓰,三輪如鐵,15,44,15,1,1,1,1,미와 조테스(三輪如鐵); 미와 조테쓰(三輪如鉄); 미와(三輪如鐡); 미와 조테쓰(三輪如鐡); 구표기: 미와 조테츠
나카자와 덴노스케,中澤傳之助,16,43,21,1,0,0,1,나카자와 덴노스케(中澤傅之助)
야스마쓰 구마키치,安松熊吉,17,41,22,1,0,1,1,구표기: 야스마쓰 구미키치
히자쓰키 마스키치,膝付益吉,10,40,11,1,1,0,0,히자쓰키 마스키치(膝月益吉); 히자쓰키 마스키치(膝附益吉)
후지나와 분준,藤縄文順,17,38,18,1,1,1,1,후지나와 분준(藤繩文順); 후지나와는 철도의(鐵道醫); 후지나와(鐵道囑託醫)
시부사와 슈조,澁澤周藏,14,36,18,1,0,1,0,
니시모토 민조,西本民城,15,35,17,1,0,0,0,
아오키 시게노부,靑木重信,13,35,22,1,1,1,1,아오키 시게노부(青木重信)
스기하라 신키치,杉原新吉,16,34,18,1,1,1,0,
우치다 로쿠로,内田六郎,16,34,17,1,1,1,1,우치다 로쿠로(內田六郎)
다도코로 유키에,田所幸衛,6,33,13,1,0,0,0,구표기: 다토코로 유키에
마치다 규고,町田久吾,14,32,14,1,1,1,1,마치다 규고(町田久語)
