한글표기,한자표기,민족,언급수,등장단락수,첫등장단락,주활동연도,활동연도범위,단체소속,연령후보_대구물어,출신후보_대구물어,도래후보_대구물어,민단사매칭,안내매칭,요람매칭,조선대구일반매칭,직업_조선대구일반,출신지_조선대구일반,도래연도_조선대구일반,연령_조선대구일반,출신지_확정,도래연도_확정,속성출전,조선대구일반_소개(발췌),직업_보조자료,직업_보조출전,출신지_보조자료,출신지_보조출전,도래연도_보조자료,도래연도_보조출전,생년,생년_출전,조선대구일반_출전,출신지_확정출전,도래연도_확정출전,직업_확정,직업_확정출전,관찰사재임_대구부사,관찰사재임_출전
이와세 시즈카,岩瀬静,일본인,164,81,127,1907,1904-1910,대구구락부; 대구상업회의소,,,,1,1,1,1,본문 등장 확인.,,,,,,조선대구일반(1911),본문 등장 확인.,대금업; 대구제분정미(주) 사장; 대구상업회의소 회두(1910~),경북요람(1910년대) p.219,,,,,,,조선대구일반(1911) pp.249~250,,,대금업; 대구제분정미(주) 사장; 대구상업회의소 회두(1910~),경북요람(1910년대) p.219,,
오구라 다케노스케,小倉武之助,일본인,111,44,29,1908,1904-1910,거류민회; 임시일본인대회; 대구상업회의소,,,,1,1,1,1,본문 등장 확인.,,,,,,조선대구일반(1911),본문 등장 확인.,한국제연합자회사 사장; 대구전기(주)(1911.8)·선남은행 대표·대구기업(주)(1917),경북요람(1910년대) p.219,,,,,,,조선대구일반(1911) pp.249~250,,,한국제연합자회사 사장; 대구전기(주)(1911.8)·선남은행 대표·대구기업(주)(1917),경북요람(1910년대) p.219,,
마스다 도라타,增田虎太,일본인,100,48,24,1907,1904-1909,거류민회; 임시일본인대회; 대구상업회의소,40세(단락28),,,1,1,1,0,,,,,후쿠오카현 구루메,,대구물어,,상업(낙동강 수운 행상); 부산일보 경북일간 주간(1913),대구민단사(1915) p.58,후쿠오카현 구루메,대구민단사(1915) p.58,,,,,,대구민단사(1915) p.58,,상업(낙동강 수운 행상); 부산일보 경북일간 주간(1913),대구민단사(1915) p.58,,
박중양,朴重陽,조선인,98,47,14,1908,1905-1909,대구구락부,33세(단락412),,1904(단락414); 1908(단락790),0,0,0,1,,,,,경기도 양주,1906(대구군수 부임),대구물어,,일본 유학(경찰학)→관찰사; 조선총독부 중추원 참의(1920),대구민단사(1915) p.90,경기도 양주,대구민단사(1915) p.90,1906(대구군수 부임),대구민단사(1915) p.90,1875년경(1895년 21세 도일 유학),대구민단사(1915) p.90,,대구민단사(1915) p.90,대구민단사(1915) p.90,일본 유학(경찰학)→관찰사; 조선총독부 중추원 참의(1920),대구민단사(1915) p.90,"경상북도관찰사 1908.6~1910(융희2년 무신 6월 임명, 관찰도 폐지까지)",대구부사(1943) 제1편 연혁편 부록 慶尙道監司任遞表 p.283
이토 히로부미,伊藤博文,일본인,81,46,127,1909,1905-1909,,,,1906(단락385); 1904(단락414),1,0,0,0,,,,,,1906,대구물어,,,,,,,,,,,,대구물어(1930) 1906(단락385); 1904(단락414),,,,
오키타 스테지로,沖田棄次郎,일본인,68,29,58,1905,1905-1909,임시일본인대회; 쇄신회; 대구상업회의소,,,,1,1,0,1,1908.4 귀국,,1907,,,1907,조선대구일반(1911),"1907.7 『대구일일신문』 주간, 1908.4 귀국. p.120. ※CSV '오키타 스테지로'.",,,,,,,,,조선대구일반(1911) pp.120~121,,조선대구일반(1911) pp.120~121,1908.4 귀국,조선대구일반(1911) pp.120~121,,
사카이 만지로,堺萬次郎,일본인,64,27,287,1907,1905-1909,대구상업회의소,,,,1,1,1,1,"오사카 출신, 원래 성은 후지이(藤井)",오사카,,,미에현,,조선대구일반(1911),"오사카 출신, 원래 성은 후지이(藤井). pp.238~239.",,,미에현,대구민단사(1915) p.58,,,,,조선대구일반(1911) pp.238~239,대구민단사(1915) p.58,,"오사카 출신, 원래 성은 후지이(藤井)",조선대구일반(1911) pp.238~239,,
가와이 아사오,河井朝雄,일본인,60,35,208,1908,1904-1910,거류민회; 쇄신회; 대구구락부; 대구상업회의소,,,,1,1,1,1,『대구신문』 사장(1909.8~),분고 오이타,1904,,분고 오이타,1904,조선대구일반(1911),"『대구신문』 사장(1909.8~). 분고 오이타, 1904.5 대구. 상업회의소·민단 의원, 공원기성회 간사. pp.120~121.",대구신문사(조선민보) 사장,경북요람(1910년대) p.219,,,,,,,조선대구일반(1911) pp.114~115,조선대구일반(1911) pp.114~115,조선대구일반(1911) pp.114~115,『대구신문』 사장(1909.8~); 대구신문사(조선민보) 사장,조선대구일반(1911) pp.114~115; 경북요람(1910년대) p.219,,
나카에 고로헤이,中江五郎平,일본인,60,33,29,1907,1904-1909,팔조회; 대구상업회의소,,,,1,1,1,1,'미나카이 잡화점' 연장자·대표자,,1904,,,1904,조선대구일반(1911),"1904.11 도한, '미나카이 잡화점' 연장자·대표자. p.242. ※CSV '나카에 고로헤이(中江五郎平)'와 동일 인물로 판단 — 郎/良 이표기.",,,,,,,,,조선대구일반(1911) pp.242,,조선대구일반(1911) pp.242,'미나카이 잡화점' 연장자·대표자,조선대구일반(1911) pp.242,,
가게야마 히데키,影山秀樹,일본인,58,32,368,1907,1905-1908,대구상업회의소,,,,1,0,0,1,민단장,,,,시즈오카현,,조선대구일반(1911),"민단장. pp.216~217(과수 재배 대목) 및 pp.116, 250(민단장 언급). ※초기 판독 '蔭山'은 影山의 오독으로 판단.",전 중의원 의원·시즈오카농공은행 대표; 대구거류민단 초대 민장; 사문진 방면 농사 경영,대구민단사(1915) p.50,시즈오카현,대구민단사(1915) p.50,,,,,조선대구일반(1911) pp.216~217,대구민단사(1915) p.50,,민단장; 전 중의원 의원·시즈오카농공은행 대표; 대구거류민단 초대 민장; 사문진 방면 농사 경영,조선대구일반(1911) pp.216~217; 대구민단사(1915) p.50,,
