이표기,대표표기,구분,비고
고타마 이타로,고다마 이타로,오타 통일,v3에 대표명만 존재(반영 완료)
나카에 고로헤,나카에 고로헤이,오타 통일,v3에 대표명만 존재
마쓰모토 세이치,마쓰모토 세이이치,오타 통일,v3에 대표명만 존재
사카모토 슌스케,사카모토 도시스케,오타 통일,v3에 대표명만 존재
하타모토 기헤,하타모토 기헤이,오타 통일,v3에 대표명만 존재
오카모토 리헤,오카모토 리헤이,오타 통일,v3에 대표명만 존재. 조직레지스트리 v1.1 비고의 '오카모토 리헤'도 이 표기로 읽음
이나모토 아라오미(稲本新臣),이나모토 신신,이표기 통일,v3에 대표명만 존재
이나모토 신진,이나모토 신신,이표기 통일,v3에 대표명만 존재
후쿠치 요시사쿠,후쿠치 기사쿠,오타 통일,v3에 대표명만 존재
시게히사 다케히코,시게히사 유히코,오타 통일,v3에 대표명만 존재
시노하라 가나오,시노하라 가나메,오타 통일,v3에 대표명만 존재
오카다 지로,오카다 기하치,이표기 통일,v3에 대표명만 존재
요시오카 고잔,요시오카 다다이치,동일인 병합,★ v3에 두 행 모두 존재 — 신규 산출물에서 요시오카 다다이치로 합산
기쿠치 나가후,기쿠치 겐조,동일인 병합,★ v3에 두 행 모두 존재 — 신규 산출물에서 기쿠치 겐조로 합산
오키타 긴조,오키타 스테지로,아호·필명,절구분 24장 1절 표제 '긴조(錦城)의 풍모' = 오키타 확인(판정 해소)
구로나 기요쓰구,구로노 기요쓰구,표기 수정,黑野
후지이 만지로,사카이 만지로,개명,이후 분석에서 사카이 만지로로 합산
노다 다다시,아쿠타가와 다다시,개명,이후 분석에서 아쿠타가와 다다시로 합산
오쿠보(주차군사령관),오쿠보 하루노,성만 표기 지정,大久保春野. 하지메·다사부로와 별개(기존 판정 로그와 일치)
이토 공·이토 통감,이토 히로부미,경칭 지정,
나(저자),가와이 아사오,저자 지정,
마노 세이치로,아사노 세이치,보조사료 표기,★『대구민단사』 표기. 사용자 확정 2026-07-27 동일인. 대표표기는 『대구물어』 기준
가미야 도요카쓰,가미야 도요나리,보조사료 표기,『대구민단사』 표기. 한자 대조 동일인(J-18)
기쿠치(민장·거류민단장),기쿠치 겐조,성만 표기 지정,민장과 거류민단장은 동일 호칭(J-18). 기쿠치 나가후 병합 행과 함께 적용
도쿠라(대리민장·조역),도쿠라 소로쿠,성만 표기 지정,J-18
