절ID,장번호,장제목,절순번,절제목,시작행,끝행,비고
1-1,1,히타치마루 호가 조난된 현해탄을 건너다,1,처음으로 대구에 오다,2,5,
1-2,1,히타치마루 호가 조난된 현해탄을 건너다,2,빈대의 습격,7,8,
2-1,2,내가 대구인이 되기까지,1,경제의 중심지,11,14,
2-2,2,내가 대구인이 되기까지,2,부산까지 강행,16,17,
2-3,2,내가 대구인이 되기까지,3,대구인이 되다,19,20,
3-1,3,임시 역사와 인두세,1,정차장 앞 풍경,23,26,
3-2,3,임시 역사와 인두세,2,거류민회 설립,28,35,
4-1,4,젊고 활기찬 민회,1,신인들의 뛰어난 기량,38,43,
4-2,4,젊고 활기찬 민회,2,난무하는 철권,45,46,
4-3,4,젊고 활기찬 민회,3,시부사와 옹의 인상,48,49,
5-1,5,여순 함락을 전기로,1,일본인 세력 신장,52,55,
5-2,5,여순 함락을 전기로,2,대소변을 제멋대로,57,58,
5-3,5,여순 함락을 전기로,3,"개, 음경을 먹다",60,61,
6-1,6,비위생 백퍼센트,1,거리의 생지옥,64,67,
6-2,6,비위생 백퍼센트,2,천연두의 유행,69,70,
6-3,6,비위생 백퍼센트,3,당시의 물가,72,77,
7-1,7,배일계 관찰사 배척의 불길,1,대구실업신문,80,83,
7-2,7,배일계 관찰사 배척의 불길,2,이용익 관찰사 배격,85,91,
7-3,7,배일계 관찰사 배척의 불길,3,재류민의 기개,93,94,
8-1,8,일본에 알려지지 않았던 대구,1,일약 10부에 들어가다,97,100,
8-2,8,일본에 알려지지 않았던 대구,2,'大邱'를 발음하는 방식,102,103,
8-3,8,일본에 알려지지 않았던 대구,3,당시의 일본인 단체와 관공서,105,106,
9-1,9,이주시대의 가벼운 생활의식,1,임시방편의 생활,109,112,
9-2,9,이주시대의 가벼운 생활의식,2,두루미와 꿩,114,115,
10-1,10,해이한 한국의 민요,1,소의 태,118,121,
10-2,10,해이한 한국의 민요,2,당시의 민요,123,132,
11-1,11,후시미노미야 전하의 대구역 통과,1,대구의 개척자,135,138,
11-2,11,후시미노미야 전하의 대구역 통과,2,나의 상인 시절,140,141,
11-3,11,후시미노미야 전하의 대구역 통과,3,전첩축하회,143,145,
11-4,11,후시미노미야 전하의 대구역 통과,4,경부선 개통식,147,148,
12-1,12,일본해 해전과 당시의 추억,1,일본해 해전,151,154,
12-2,12,일본해 해전과 당시의 추억,2,당시의 바람,156,157,
12-3,12,일본해 해전과 당시의 추억,3,나가이와의 추억,159,168,
13-1,13,달성산의 전설과 공원 경영,1,달성산의 전설,171,174,
13-2,13,달성산의 전설과 공원 경영,2,공원지로 공인,176,177,
13-3,13,달성산의 전설과 공원 경영,3,공원 조성의 공로자,179,181,
14-1,14,최초의 일본인 회사와 민족성,1,최초의 회사,183,186,
14-2,14,최초의 일본인 회사와 민족성,2,거짓 현판,188,189,
14-3,14,최초의 일본인 회사와 민족성,3,한국인과 국민성,191,192,
15-1,15,난맥이 극에 달한 당시의 화폐,1,당시의 화폐,195,198,
15-2,15,난맥이 극에 달한 당시의 화폐,2,일람불 어음,200,201,
15-3,15,난맥이 극에 달한 당시의 화폐,3,말 귀에 염불,203,204,
16-1,16,거저먹는 세금징수 청부업,1,대금업 횡포 시대,207,210,
16-2,16,거저먹는 세금징수 청부업,2,경찰의 부재,212,213,
16-3,16,거저먹는 세금징수 청부업,3,나카무라의 일화,215,216,
17-1,17,문란한 법제 치하의 행형,1,황금만능 시대,219,222,
17-2,17,문란한 법제 치하의 행형,2,매 한 대에 1관문,224,225,
17-3,17,문란한 법제 치하의 행형,3,시장의 행형장,227,228,
18-1,18,서투른 사수로 인해 총살 재집행,1,60여 명 교살,231,234,
18-2,18,서투른 사수로 인해 총살 재집행,2,총살을 실제로 보다,236,238,
18-3,18,서투른 사수로 인해 총살 재집행,3,용병은 파락호,239,240,
19-1,19,뇌물이 횡행한 옛 한국시대,1,해이한 민심,243,246,
19-2,19,뇌물이 횡행한 옛 한국시대,2,재판의 한 장면,248,249,
19-3,19,뇌물이 횡행한 옛 한국시대,3,옥중 고통의 예,251,259,
19-4,19,뇌물이 횡행한 옛 한국시대,4,과거 형벌의 종류,260,262,표제 표기 상이(과거의 형벌)
19-5,19,뇌물이 횡행한 옛 한국시대,5,행복 향유 시대,264,265,
20-1,20,공부라고 생각하여 보게 된 행형,1,냉담한 사형수,268,273,
21-1,21,만만치 않은 상인들 뿐,1,사족 출신 상인들,276,280,
22-1,22,막과자 가게라도 이름은 무역상,1,당시 내가 하던 장사,282,285,
22-2,22,막과자 가게라도 이름은 무역상,2,복통의 묘약,287,288,
23-1,23,호랑이 굴에 들어가 호랑이 새끼를 잡는 상술,1,이상한 진열 방법,291,294,
23-2,23,호랑이 굴에 들어가 호랑이 새끼를 잡는 상술,2,관리가 된 상인,296,297,
