org_id,표준조직명,한자표기,이명_전신_후신,조직유형,설립시기,개편시기,해산시기,근거절,보조출전,근거수준,비고
O001,대구일본동포회,,후신:O002,행정·자치,1904-06,,1904-08,43-1;43-3,『대구민단사』 p.22,교차확인,"영사관 서기 마쓰무라 종용으로 조직. 발기인 17명(이노 히데스케 외). 2개월 뒤 거류민회로 개편. 민단사: 1904년 조직·회원 130여 명(연월 미기재), 수지 부족으로 일시 폐지"
O002,대구일본인거류민회,大日本人居留民會,이명:대일본인거류민회·일본인회 / 전신:O001·O113 / 후신:O003,행정·자치,1904-08,1905(민장제·호별부과 개편),1906-11-01,3-2;43-1;43-3;24-1~26-3,『대구민단사』 pp.22~23,교차확인,부산영사(아리요시) 인가. 회장 도쿠히사 요네조→도쿠라 소로쿠(대리)→다도코로 유키에(민장). 평의원 20명 체제. 민단사도 1904-08 아리요시 영사 인가 확인(표기: 대일본인거류민회). 1906-08 총사직으로 종언 | [J-07 판정 2026-07-23] 전신에 대구일본인회(O113) 추가 — 본문 5-1 '일본인회를 거류민회로 개칭' 서술(사용자 판정)
O003,대구거류민단,大邱居留民團,전신:O002,행정·자치,1906-11-01,1908-07-23(민단법 개정·민장 관선화),1914-03(민단제 폐지),53-3;51-2;93-3,『대구민단사』 p.28·p.202,교차확인,"민단법 실시. 대리민장 가게야마 히데키·대리조역 도쿠라. 민단기 의결기관 '거류민회(민회)'는 본 레코드에 포함(판정례 R-01). 민단사: 1906-09-15 통감부 전보로 실시 통지, 1906-12-21 제1회 민회의원 선거. 폐지 후 교육사업은 대구학교조합(1914)에 이관"
O004,대구거류민단 설립위원회,,,임시조직,1906-09-20,,1906-11-01,53-1;53-2,,회고록단독,위원장 가게야마·회계위원 도쿠라·설립위원 12명(명단 미상)
O005,대구도로위원회,大邱道路委員會,,임시조직,1906-11-15경,,,55-1;55-3;55-3~56-1,,회고록단독,민단 조성기관. 4개 문별 위원 12명. 1906-11-18 제1회 위원회
O006,대구시의소,大邱市議所,,행정·자치(한국인),1906말,,1907-06,67-1,,회고록단독,한국인 유지 조직. 서상돈을 '대구시장' 추대. '대구시청' 간판
O007,대구일본인상업회의소,大邱日本人商業會議所,,경제,1906-12-07(설립인가),1907-01-22(제1회 의원선거),,57-3;64-1;107-3,『대구민단사』 pp.186~187,교차확인,창립위원장 쓰치야. 회장 이와세→(1908 사퇴)→와타나베 히스루(보선)→다케카와(취임 불승인·부회장 대행). 민단사 직명은 회두/부회두. 1910-09-03 대구상업회의소로 개칭. [판정 2026-07-22] 이와세 회장 사표는 1908-02-10로 판정(본문 표기 '1907'은 오기 — 후임 다케카와의 제일은행 지점장 취임 1908-01 근거)
O008,대구상업회의소(한국인),大邱商業會議所,,경제(한국인),1906~1907,,,67-1,,회고록단독,일본인 회의소 설립 후 결성. 서문 밖 달서교 부근
O009,대구농공은행,大邱農工銀行,후신:O010,경제,1906-06,,1908-08(합병),46-1;46-2,『대구민단사』 pp.126~127,교차확인,"자본금 30만원. 은행장 이석진(3기)→이병학. 지배인 쓰치야 히코타로→이시이 미쓰오. 일본인 차명 주식. 민단사: 1906 설립 확인(월 미기재), 초대 지배인 쓰치야 확인"
O010,경상농공은행,慶尙農工銀行,전신:O009 / 후신:조선식산은행,경제,1908-08,,,46-1;100-2,『대구민단사』 pp.126~127,교차확인,진주 농공은행 합병으로 설립. 1908-12-27 신축 낙성. 지배인 이시이→야스카와. 민단사: 진주 병합·개칭 확인(1908-08의 월은 미기재)
O011,대구수형조합,大邱手形組合,,경제,1906경,,,46-2,『대구민단사』 p.125·p.163(명칭만),회고록단독,수형조합조례 의거. 농공은행과 거의 같은 시기. 민단사에는 명칭만 등재(설립연 미기재)
